Iter     Function value   Gradient norm 
     0    -1.116151e+00     7.724666e-02
 * time: 0.021247148513793945
    Energy Error: 0.02096561840712763

     1    -1.134457e+00     4.209142e-02
 * time: 2.1744542121887207
     2    -1.136162e+00     1.025499e-02
 * time: 2.647249221801758
     3    -1.136972e+00     4.243534e-03
 * time: 3.1069440841674805
     4    -1.137114e+00     2.250516e-03
 * time: 3.57289719581604
     5    -1.137116e+00     4.697683e-04
 * time: 4.042155027389526
     6    -1.137116e+00     5.751050e-05
 * time: 4.50324010848999
     7    -1.137116e+00     6.474478e-05
 * time: 4.970032215118408
     8    -1.137116e+00     4.510509e-05
 * time: 5.440637111663818
     9    -1.137116e+00     5.324679e-05
 * time: 5.90632700920105
    10    -1.137116e+00     1.048784e-04
 * time: 6.375601053237915
    11    -1.137116e+00     1.398955e-04
 * time: 6.836717128753662
    12    -1.137117e+00     1.460784e-04
 * time: 7.298404216766357
    13    -1.137117e+00     1.547465e-04
 * time: 8.23034119606018
    14    -1.137117e+00     6.875542e-05
 * time: 8.689065217971802
    15    -1.137117e+00     6.141417e-05
 * time: 9.157296180725098
    16    -1.137117e+00     3.156261e-05
 * time: 9.621726036071777
    17    -1.137117e+00     1.106530e-05
 * time: 10.088137149810791
    18    -1.137117e+00     1.834209e-06
 * time: 11.017864227294922
    19    -1.137117e+00     1.444860e-06
 * time: 11.480849027633667
    20    -1.137117e+00     3.168615e-06
 * time: 11.950510025024414
    21    -1.137117e+00     7.282779e-06
 * time: 12.413438081741333
    22    -1.137117e+00     1.076153e-05
 * time: 12.876639127731323
    23    -1.137117e+00     1.043599e-05
 * time: 13.344413995742798
    24    -1.137117e+00     1.057519e-05
 * time: 14.269692182540894
    25    -1.137117e+00     4.910958e-06
 * time: 14.73823618888855
    Energy Error: 4.447153756359512e-11

    26    -1.137117e+00     9.780440e-07
 * time: 15.19367504119873
    Energy Error: 2.4589219549397967e-12

